1.92e+02,2.85e+01,1.63e+02,1.63e+02,3.69e+02,7.00e+00,3.00e+00
3.84e+02,4.28e+01,2.56e+02,2.56e+02,4.15e+02,7.00e+00,2.00e+00
5.76e+02,6.14e+01,2.94e+02,2.56e+02,4.40e+02,7.00e+00,2.00e+00
7.68e+02,3.99e+01,2.62e+02,2.56e+02,4.40e+02,7.00e+00,1.00e+00
9.60e+02,6.03e+01,2.63e+02,2.56e+02,4.40e+02,7.00e+00,1.00e+00
1.15e+03,2.06e+01,2.85e+02,2.56e+02,4.40e+02,7.00e+00,1.00e+00
1.34e+03,6.06e+01,2.20e+02,2.56e+02,4.40e+02,7.00e+00,1.00e+00
1.54e+03,5.11e+01,2.51e+02,2.56e+02,4.40e+02,7.00e+00,1.00e+00
1.73e+03,6.81e+01,3.01e+02,2.56e+02,4.67e+02,8.00e+00,3.00e+00
1.92e+03,1.46e+02,2.62e+02,2.62e+02,3.83e+02,8.00e+00,2.00e+00
2.11e+03,1.24e+02,2.59e+02,2.62e+02,3.83e+02,8.00e+00,2.00e+00
2.30e+03,1.34e+02,2.85e+02,2.85e+02,4.06e+02,8.00e+00,2.00e+00
2.50e+03,1.20e+02,3.07e+02,3.07e+02,4.17e+02,8.00e+00,3.00e+00
2.69e+03,1.43e+02,3.03e+02,3.07e+02,4.17e+02,8.00e+00,2.00e+00
2.88e+03,1.52e+02,3.13e+02,3.13e+02,3.84e+02,8.00e+00,2.00e+00
3.07e+03,7.51e+01,2.65e+02,3.13e+02,3.84e+02,8.00e+00,3.00e+00
3.26e+03,1.13e+02,2.91e+02,3.13e+02,3.84e+02,8.00e+00,3.00e+00
