3.41e+01,5.99e+01,4.00e+00,1.66e+02,4.49e+02,2.00e+00,1.64e+02,4.11e+02,2.00e+00,2.77e+02,3.55e+02,2.00e+00,2.19e+02,2.87e+02,2.00e+00,2.52e+02,3.49e+02,2.00e+00,3.02e+02,3.60e+02,2.00e+00,3.11e+02,4.29e+02,2.00e+00,2.64e+02,3.72e+02,2.00e+00
3.18e+01,5.81e+01,5.00e+00,2.61e+01,6.59e+01,1.00e+00,2.61e+02,4.43e+02,3.00e+00,1.53e+02,3.91e+02,2.00e+00,1.78e+02,4.34e+02,2.00e+00,2.43e+02,3.46e+02,4.00e+00,2.61e+02,3.85e+02,5.00e+00,1.71e+02,4.06e+02,2.00e+00,1.65e+02,4.30e+02,2.00e+00
5.92e+00,1.16e+01,2.00e+00,2.61e+01,6.59e+01,1.00e+00,1.64e+02,4.11e+02,2.00e+00,2.52e+02,4.11e+02,3.00e+00,2.75e+02,3.96e+02,4.00e+00,2.43e+02,3.46e+02,4.00e+00,2.74e+02,3.96e+02,4.00e+00,2.78e+02,3.54e+02,4.00e+00,2.64e+02,3.72e+02,5.00e+00
6.60e+00,1.22e+01,3.00e+00,1.66e+02,4.49e+02,2.00e+00,1.64e+02,4.11e+02,2.00e+00,1.53e+02,3.91e+02,2.00e+00,1.78e+02,4.34e+02,2.00e+00,2.54e+02,4.13e+02,3.00e+00,2.72e+02,4.25e+02,3.00e+00,1.71e+02,4.06e+02,2.00e+00,1.65e+02,4.30e+02,2.00e+00
3.20e+01,5.93e+01,4.00e+00,1.66e+02,4.49e+02,2.00e+00,1.64e+02,4.11e+02,2.00e+00,1.53e+02,3.91e+02,2.00e+00,2.80e+02,4.40e+02,3.00e+00,2.54e+02,4.13e+02,3.00e+00,2.72e+02,4.25e+02,3.00e+00,2.76e+02,4.41e+02,3.00e+00,2.58e+02,4.30e+02,3.00e+00
2.04e+01,3.69e+01,3.00e+00,5.77e+01,2.36e+02,1.00e+00,1.64e+02,4.11e+02,2.00e+00,2.52e+02,4.11e+02,3.00e+00,2.80e+02,4.40e+02,3.00e+00,2.54e+02,4.13e+02,3.00e+00,2.72e+02,4.25e+02,3.00e+00,1.71e+02,4.06e+02,2.00e+00,1.65e+02,4.30e+02,2.00e+00
6.60e+00,1.22e+01,3.00e+00,5.77e+01,2.36e+02,1.00e+00,1.64e+02,4.11e+02,2.00e+00,2.52e+02,4.11e+02,3.00e+00,2.80e+02,4.40e+02,3.00e+00,2.54e+02,4.13e+02,3.00e+00,2.72e+02,4.25e+02,3.00e+00,2.76e+02,4.41e+02,3.00e+00,2.60e+02,3.72e+02,4.00e+00
3.08e+01,5.62e+01,5.00e+00,1.26e+02,2.78e+02,2.00e+00,1.64e+02,4.11e+02,2.00e+00,1.53e+02,3.91e+02,2.00e+00,1.78e+02,4.34e+02,2.00e+00,1.53e+02,3.75e+02,2.00e+00,2.72e+02,4.25e+02,3.00e+00,1.71e+02,4.06e+02,2.00e+00,2.58e+02,4.30e+02,3.00e+00
5.92e+01,1.74e+02,4.00e+00,5.77e+01,2.36e+02,1.00e+00,1.64e+02,4.11e+02,2.00e+00,1.53e+02,3.91e+02,2.00e+00,1.78e+02,4.34e+02,2.00e+00,1.53e+02,3.75e+02,2.00e+00,1.52e+02,4.10e+02,2.00e+00,1.71e+02,4.06e+02,2.00e+00,2.58e+02,4.30e+02,3.00e+00
3.32e+01,6.18e+01,2.00e+00,5.77e+01,2.36e+02,1.00e+00,1.64e+02,4.11e+02,2.00e+00,1.53e+02,3.91e+02,2.00e+00,1.78e+02,4.34e+02,2.00e+00,2.56e+02,3.58e+02,4.00e+00,2.45e+02,3.90e+02,4.00e+00,2.76e+02,4.41e+02,3.00e+00,1.65e+02,4.30e+02,2.00e+00
